"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"0","0","12","12"
"1","0","22","22"
"2","0","23","23"
"3","0","23","23"
"4","0","20","20"
"5","0","22","22"
"6","0","24","24"
"7","0","23","23"
"8","0","23","23"
"9","0","23","23"
"10","0","23","23"
"11","0","23","23"
"12","0","22","22"
"13","0","23","23"
"14","0","23","23"
"15","0","23","23"
"16","0","23","23"
"17","0","22","22"
"18","0","22","22"
"19","0","21","21"
"20","0","22","22"
"21","0","22","22"
"22","0","24","24"
"23","0","23","23"
"24","0","20","20"
"25","0","24","24"
"26","0","24","24"
"27","0","21","21"
"28","0","23","23"
"29","0","23","23"
"30","0","24","24"
"31","0","24","24"
"32","0","24","24"
"33","0","23","23"
"34","0","22","22"
"35","0","23","23"
"36","0","23","23"
"37","0","23","23"
"38","0","24","24"
"39","0","23","23"
"40","0","19","19"
"41","0","28","28"
"42","0","23","23"
"43","0","23","23"
"44","0","23","23"
"45","0","24","24"
"46","0","16","16"
