"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"0","0","22","22"
"1","0","24","24"
"2","0","24","24"
"3","0","23","23"
"4","0","23","23"
"5","0","24","24"
"6","0","23","23"
"7","0","23","23"
"8","0","23","23"
"9","0","22","22"
"10","0","23","23"
"11","0","22","22"
"12","0","22","22"
"13","0","23","23"
"14","0","22","22"
"15","0","21","21"
"16","0","22","22"
"17","0","22","22"
"18","0","21","21"
"19","0","21","21"
"20","0","18","18"
"21","0","17","17"
"22","0","16","16"
"23","0","17","17"
"24","0","17","17"
"25","0","16","16"
"26","0","15","15"
"27","0","16","16"
"28","0","16","16"
"29","0","16","16"
"30","0","16","16"
"31","0","15","15"
"32","0","16","16"
"33","0","16","16"
"34","0","16","16"
"35","0","16","16"
"36","0","16","16"
"37","0","15","15"
"38","0","16","16"
"39","0","16","16"
"40","0","16","16"
"41","0","16","16"
"42","0","16","16"
"43","0","15","15"
"44","0","16","16"
"45","0","16","16"
"46","0","16","16"
"47","0","16","16"
"48","0","15","15"
"49","0","16","16"
"50","0","16","16"
"51","0","15","15"
"52","0","15","15"
"53","0","15","15"
"54","0","15","15"
"55","0","15","15"
"56","0","15","15"
"57","0","15","15"
"58","0","14","14"
"59","0","14","14"
"60","0","15","15"
"61","0","14","14"
"62","0","15","15"
"63","0","14","14"
"64","0","15","15"
"65","0","14","14"
"66","0","14","14"
"67","0","14","14"
"68","0","14","14"
"69","0","14","14"
"70","0","15","15"
"71","0","14","14"
"72","0","13","13"
"73","0","14","14"
"74","0","14","14"
"75","0","14","14"
"76","0","14","14"
"77","0","15","15"
"78","0","14","14"
"79","0","14","14"
"80","0","14","14"
"81","0","14","14"
"82","0","14","14"
"83","0","14","14"
"84","0","14","14"
"85","0","14","14"
"86","0","14","14"
"87","0","14","14"
"88","0","14","14"
"89","0","14","14"
"90","0","14","14"
"91","0","14","14"
"92","0","14","14"
"93","0","14","14"
"94","0","14","14"
"95","0","14","14"
"96","0","14","14"
"97","0","14","14"
"98","0","15","15"
"99","0","14","14"
"100","0","14","14"
"101","0","14","14"
"102","0","13","13"
"103","0","14","14"
"104","0","14","14"
"105","0","14","14"
"106","0","14","14"
"107","0","14","14"
"108","0","14","14"
"109","0","14","14"
"110","0","13","13"
"111","0","14","14"
"112","0","14","14"
"113","0","15","15"
"114","0","14","14"
"115","0","14","14"
"116","0","13","13"
"117","0","14","14"
"118","0","14","14"
"119","0","13","13"
"120","0","14","14"
"121","0","14","14"
"122","0","14","14"
"123","0","13","13"
"124","0","14","14"
"125","0","13","13"
"126","0","14","14"
"127","0","13","13"
"128","0","14","14"
"129","0","13","13"
"130","0","14","14"
"131","0","13","13"
"132","0","13","13"
"133","0","14","14"
"134","0","13","13"
"135","0","13","13"
"136","0","13","13"
"137","0","13","13"
"138","0","13","13"
"139","0","13","13"
"140","0","13","13"
"141","0","13","13"
"142","0","13","13"
"143","0","13","13"
"144","0","13","13"
"145","0","13","13"
"146","0","13","13"
"147","0","11","11"
