"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"0","0","14","14"
"1","0","28","28"
"2","0","28","28"
"3","0","27","27"
"4","0","28","28"
"5","0","28","28"
"6","0","26","26"
"7","0","2","2"
