"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"0","0","6","6"
"1","0","21","21"
"2","0","24","24"
"3","0","22","22"
"4","0","22","22"
"5","0","23","23"
"6","0","23","23"
"7","0","23","23"
"8","0","23","23"
"9","0","22","22"
"10","0","23","23"
"11","0","22","22"
"12","0","6","6"
"13","0","38","38"
"14","0","23","23"
"15","0","22","22"
"16","0","23","23"
"17","0","21","21"
"18","0","23","23"
"19","0","23","23"
"20","0","21","21"
"21","0","23","23"
"22","0","22","22"
"23","0","23","23"
"24","0","23","23"
"25","0","23","23"
"26","0","22","22"
"27","0","23","23"
"28","0","9","9"
